delta_bucket,maturity_bucket,SSE_BS,SSE_MV,MSE_BS,MSE_MV,Gain,N
ALL,ALL,994700.6510994597,970336.7277341116,11.324650208908292,11.047267350533518,0.024493724155521868,87835
"(0.049, 0.15]","(14.999, 267.143]",12405.10226448857,10804.60479989355,2.3032124516317434,2.006053620477822,0.12901928823083386,5386
"(0.049, 0.15]","(267.143, 519.286]",903.9518389831917,785.9212037570063,1.3675519500502145,1.1889882053812502,0.1305718182496889,661
"(0.049, 0.15]","(519.286, 771.429]",220.63979472094434,147.87332340237384,1.9877458983868859,1.3321921027240886,0.3297975843868164,111
"(0.049, 0.15]","(1023.571, 1275.714]",4631.357258357901,4646.173616166286,48.243304774561466,48.39764183506548,-0.0031991394707560072,96
"(0.049, 0.15]","(1275.714, 1527.857]",576.295720403867,456.45016609670654,4.537761577983205,3.594095796037059,0.2079584318675365,127
"(0.049, 0.15]","(1527.857, 1780.0]",730.9910228656044,647.7684930711232,9.371679780328261,8.304724270142605,0.1138489081141314,78
"(0.15, 0.25]","(14.999, 267.143]",30956.11752319052,28085.48377418566,6.246189976430695,5.666966056131086,0.09273235724261442,4956
"(0.15, 0.25]","(267.143, 519.286]",2108.2102756004674,2069.72270055821,4.015638620191367,3.942328953444209,0.0182560418605755,525
"(0.15, 0.25]","(519.286, 771.429]",293.00830109639276,229.98615155799774,4.803414772072013,3.7702647796393074,0.2150865668398324,61
"(0.15, 0.25]","(1023.571, 1275.714]",5994.880894865956,6052.030615849693,72.22748066103561,72.91603151626137,-0.00953308697637012,83
"(0.15, 0.25]","(1275.714, 1527.857]",679.1892362565569,527.4873982182437,9.988077003772895,7.757167620856525,0.22335724705302806,68
"(0.15, 0.25]","(1527.857, 1780.0]",745.8847101683142,597.8394192994269,12.642113731666342,10.13287151354961,0.19848280686096886,59
"(0.25, 0.35]","(14.999, 267.143]",51336.642753125765,48207.380184569934,9.900991852097544,9.297469659512041,0.060955730658201146,5185
"(0.25, 0.35]","(267.143, 519.286]",4309.734430272589,4493.575841792261,6.819200047899666,7.1100883572662354,-0.04265724825834427,632
"(0.25, 0.35]","(519.286, 771.429]",328.6903654845354,270.7491396195896,6.9934120315858594,5.760619991906162,0.17627905150043677,47
"(0.25, 0.35]","(1023.571, 1275.714]",778.4493295754921,643.0127304352052,12.761464419270363,10.541192302216478,0.17398254965951854,61
"(0.25, 0.35]","(1275.714, 1527.857]",1246.7416733514494,1029.9596533643885,16.191450303265576,13.376099394342708,0.17387885928631452,77
"(0.25, 0.35]","(1527.857, 1780.0]",3147.7470730715527,2910.5685132334656,66.9733419802458,61.92698964326522,0.07534867139329893,47
"(0.35, 0.45]","(14.999, 267.143]",69018.7492713108,65947.49525949746,12.22436225138342,11.68039235910334,0.04449883610235128,5646
"(0.35, 0.45]","(267.143, 519.286]",6093.948335589421,6363.793993195565,8.38232233231007,8.753499302882483,-0.04428092309713416,727
